MBSSTaxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
NYCTIOPHYLAX,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Nyctiophylax,,,Filterer,6,cn,0.2,,1995
NYMPHOMYIA,Arthropoda,Insecta,Diptera,Nymphomyiidae,Nymphomyia,,,,,cn,,"Added by ESF 2019, addition",2016
OCHROTRICHIA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Ochrotrichia,Ochrotrichiini,Ochrotrichiini,Scraper,4,cn,4,,1995
ODONATA,Arthropoda,Insecta,Odonata,,,,,Predator,,,6.6,,1997
ODONTOCERIDAE,Arthropoda,Insecta,Trichoptera,Odontoceridae,,,,,0,,0,,1995
ODONTOMESA,Arthropoda,Insecta,Diptera,Chironomidae,Odontomesa,Prodiamesinae,,Collector,7,sp,6.6,,1997
ODONTOMYIA,Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,,,Collector,4,sp,7,,2023
OECETIS,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,Oecetini,Oecetini,Predator,4,"cn, sp, cb",4.7,,1995
OEMOPTERYX,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Oemopteryx,,,Shredder,2,"sp, cn",1.8,,1995
OLIGOCHAETA,Annelida,Oligochaeta,,,,,,Collector,10,bu,10,,1995
OLIGOSTOMIS,Arthropoda,Insecta,Trichoptera,Phryganeidae,Oligostomis,,,,5,,2,Addition,2001
OMISUS,Arthropoda,Insecta,Diptera,Chironomidae,Omisus,Chironominae,Chironomini,,7,,6.6,,1997
OPHIOGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus,,,Predator,5,bu,6.2,Added 6 Nov 06 by DB; addition,2007
OPTIOSERVUS,Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,,,Scraper,5,cn,5.4,,1995
ORCONECTES,Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,Crustacea,,Shredder,6,sp,2.8,,1995
OREOGETON,Arthropoda,Insecta,Diptera,Empididae,Oreogeton,,,Predator,6,"sp, bu",6,"Added February 2014 by MTK, addition",2014
ORIMARGA,Arthropoda,Insecta,Diptera,Tipulidae,Orimarga,,,Shredder,4,bu,,,2024
ORMOSIA,Arthropoda,Insecta,Diptera,Tipulidae,Ormosia,,,Collector,4,bu,6.3,,1995
ORTHOCLADIINAE,Arthropoda,Insecta,Diptera,Chironomidae,,Orthocladiinae,,Collector,7,bu,7.6,,1995
ORTHOCLADIINAE A,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae A,Orthocladiinae,,Collector,7,,8.4,,1995
ORTHOCLADIINAE B,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae B,Orthocladiinae,,Collector,7,,6.6,,1997
ORTHOCLADIINAE C,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae C,Orthocladiinae,,Collector,7,,,,2023
ORTHOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladiinae,,Collector,7,"sp, bu",9.2,,1995
ORTHOTRICHIA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Orthotrichia,Orthotrichiini,Orthotrichiini,Piercer,4,,5,,2000
OSTRACODA,Arthropoda,Crustacea,Ostracoda,,,,,Collector,8,,8,,1995
OSTROCERCA,Arthropoda,Insecta,Plecoptera,Nemouridae,Ostrocerca,,,Shredder,2,"sp, cn",1.7,,1995
OULIMNIUS,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,,,Scraper,5,cn,2.7,,1995
OXYETHIRA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,Hydroptilini,Hydroptilini,Collector,4,cb,3,,1995
PACHYDIPLAX,Arthropoda,Insecta,Odonata,Libellulidae,Pachydiplax,,,Predator,9,,8,,2001
PADUNIA,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Padunia,,,Scraper,1,cn,,"Name change from Matrioptila in 2019, addition",2019
PAGASTIA,Arthropoda,Insecta,Diptera,Chironomidae,Pagastia,Diamesinae,Diamesini,Collector,7,,6.6,,1995
PAGASTIELLA,Arthropoda,Insecta,Diptera,Chironomidae,Pagastiella,Chironominae,Chironomini,Collector,7,sp,,,2018
PALAEAGAPETUS,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Palaeagapetus,,,Shredder,,sp,,"Added Sept 2010 by MTK, addition",2010
PALAEMONETES,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes,Crustacea,,,7,sp,7,,1995
PALAEMONIDAE,Arthropoda,Malacostraca,Decapoda,Palaemonidae,,,,,7,,7,,1995
PALMACORIXA,Arthropoda,Insecta,Hemiptera,Corixidae,Palmacorixa,,,Predator,5,,5.6,,1995
PARACAPNIA,Arthropoda,Insecta,Plecoptera,Capniidae,Paracapnia,,,Shredder,2,,2.8,,1995
PARACHAETOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Parachaetocladius,Orthocladiinae,,Collector,7,sp,3.3,,1995
PARACHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,Chironominae,Chironomini,Predator,7,sp,6.6,,1995
PARACLADOPELMA,Arthropoda,Insecta,Diptera,Chironomidae,Paracladopelma,Chironominae,Chironomini,Collector,7,sp,6.6,,1995
PARACLOEODES,Arthropoda,Insecta,Ephemeroptera,Baetidae,Paracloeodes,,,Scraper,,,,"Added Aug 2012 by MTK, addition",2012
PARACRICOTOPUS,Arthropoda,Insecta,Diptera,Chironomidae,Paracricotopus,Orthocladiinae,,Collector,7,sp,,,2022
PARAGNETINA,Arthropoda,Insecta,Plecoptera,Perlidae,Paragnetina,Perlini,Perlini,Predator,2,cn,2.2,,1995
PARAKIEFFERIELLA,Arthropoda,Insecta,Diptera,Chironomidae,Parakiefferiella,Orthocladiinae,,Collector,7,sp,2.1,,1995
PARALAUTERBORNIELLA,Arthropoda,Insecta,Diptera,Chironomidae,Paralauterborniella,Chironominae,Chironomini,Collector,7,cn,6.6,,1995
PARALEPTOPHLEBIA,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,,Collector,3,"sw, cn, sp",2,,1995
PARALEUCTRA,Arthropoda,Insecta,Plecoptera,Leuctridae,Paraleuctra,,,Shredder,0,"sp, cn",0.8,,1995
PARAMERINA,Arthropoda,Insecta,Diptera,Chironomidae,Paramerina,Tanypodinae,Pentaneurini,Predator,7,sp,6.6,,1995
PARAMETRIOCNEMUS,Arthropoda,Insecta,Diptera,Chironomidae,Parametriocnemus,Orthocladiinae,,Collector,7,sp,4.6,,1995
PARANEMOURA,Arthropoda,Insecta,Plecoptera,Nemouridae,Paranemoura,,,,2,,2.9,,2000
PARAPHAENOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Paraphaenocladius,Orthocladiinae,,Collector,7,sp,4,,1995
PARAPSYCHE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Parapsyche,,,Filterer,5,cn,5.7,,1997
PARASMITTIA,Arthropoda,Insecta,Diptera,Chironomidae,Parasmittia,Orthocladiinae,,,7,,6.6,,2000
PARATANYTARSUS,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Chironominae,Tanytarsini,Collector,7,sp,7.7,,1995
PARATENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes,Chironominae,Chironomini,Collector,7,bu,6.6,,1995
PARATRICHOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Paratrichocladius,Orthocladiinae,,Collector,7,sp,6.6,,1995
PEDICIA,Arthropoda,Insecta,Diptera,Tipulidae,Pedicia,,,Predator,4,bu,4.8,,2002
PELECORHYNCHIDAE,Arthropoda,Insecta,Diptera,Pelechorhynchidae,,,,Predator,3,,,,1995
PELOCORIS,Arthropoda,Insecta,Hemiptera,Naucoridae,Pelocoris,,,Predator,,,7,"Added on 6 Nov 07 by DB. Tol val from RBP Appendix B/MACS, addition",2006
PELTODYTES,Arthropoda,Insecta,Coleoptera,Haliplidae,Peltodytes,,,Shredder,5,"cb, cn",8.9,,1995
PELTOPERLA,Arthropoda,Insecta,Plecoptera,Peltoperlidae,Peltoperla,,,Shredder,2,"cn, sp",1.1,,1995
PELTOPERLIDAE,Arthropoda,Insecta,Plecoptera,Peltoperlidae,,,,Shredder,2,"cn, sp",1.3,,1995
PENELOMAX,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Penelomax,,,Collector,,,2,"Added Sept 2010 by MTK, addition",2010
PENTAGENIA,Arthropoda,Insecta,Ephemeroptera,Palingeniidae,Pentagenia,,,Collector,4,,3,,2000
PENTANEURA,Arthropoda,Insecta,Diptera,Chironomidae,Pentaneura,Tanypodinae,Pentaneurini,Predator,7,sp,6.6,,1995
PERICOMA,Arthropoda,Insecta,Diptera,Psychodidae,Pericoma,,,Collector,4,,4,,1997
PERITHEMIS,Arthropoda,Insecta,Odonata,Libellulidae,Perithemis,,,Predator,9,sp,4,,2024
PERLESTA,Arthropoda,Insecta,Plecoptera,Perlidae,Perlesta,Acroneuriini,Acroneuriini,Predator,2,cn,1.6,,1995
PERLIDAE,Arthropoda,Insecta,Plecoptera,Perlidae,,,,Predator,2,cn,2.2,,1995
PERLINELLA,Arthropoda,Insecta,Plecoptera,Perlidae,Perlinella,Acroneuriini,Acroneuriini,Predator,1,cn,1.6,,1997
PERLODIDAE,Arthropoda,Insecta,Plecoptera,Perlodidae,,,,Predator,2,cn,2.2,,1995
PETROPHILA,Arthropoda,Insecta,Lepidoptera,Crambidae,Petrophila,Nymphulinae,Argyractini,Scraper,5,"cb, sw",5,"Added 7 Oct 2008 MTK, addition",2008
PHAENOPSECTRA,Arthropoda,Insecta,Diptera,Chironomidae,Phaenopsectra,Chironominae,Chironomini,Collector,7,cn,8.7,,1995
PHAGOCATA,Platyhelminthes,Turbellaria,Tricladida,Planariidae,Phagocata,,,Predator,6,,8.4,,2000
PHANOGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Phanogomphus,,,Predator,5,bu,2.2,Phanogomphus split from Gomphus (Ware et al. 2017; MCB 2019),2023
PHASGANOPHORA,Arthropoda,Insecta,Plecoptera,Perlidae,Agnetina,Agnetina,Agnetina,Predator,2,cn,2.2,,1995
PHILOPOTAMIDAE,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,Filterer,3,cn,2.6,,1995
PHRYGANEIDAE,Arthropoda,Insecta,Trichoptera,Phryganeidae,,,,Shredder,5,,4.3,,2000
PHYLOCENTROPUS,Arthropoda,Insecta,Trichoptera,Dipseudopsidae,Phylocentropus,,,Collector,5,bu,5,,1995
PHYSA,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,Mollusca,,Scraper,8,cb,7,Changed back to Physa from Physella per EF's memo in 2007,1995
PHYSELLA,Mollusca,Gastropoda,Basommatophora,Physidae,Physella,Mollusca,,Scraper,8,cb,8,,2007
PHYSIDAE,Mollusca,Gastropoda,Basommatophora,Physidae,,,,Scraper,8,cb,7,,1996
PILARIA,Arthropoda,Insecta,Diptera,Tipulidae,Pilaria,,,Predator,4,bu,4.8,,1995
PISCICOLA,Annelida,Hirudinea,Rhynchobdellida,Piscicolidae,Piscicola,,,Predator,7,sp,,,1995
PISCICOLIDAE,Annelida,Hirudinea,Rhynchobdellida,Piscicolidae,,,,,7,,7,,2006
PISIDIIDAE,Mollusca,Bivalvia,Veneroida,Pisidiidae,,,,Filterer,,bu,6.5,Formerly Sphaeridae,2011
PISIDIUM,Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidium,Mollusca,,Filterer,8,bu,5.7,,1995
PLACOBDELLA,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,Placobdella,,,Predator,8,,6,,2001
PLANARIIDAE,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,,,Predator,6,sp,8.4,,1996
PLANORBELLA,Mollusca,Gastropoda,Lymnaeida,Planorbidae,Planorbella,Mollusca,,Scraper,7,cb,7.6,,1995
PLANORBIDAE,Mollusca,Gastropoda,Lymnaeida,Planorbidae,,Mollusca,,Scraper,7,cb,7.6,,1995
PLATHEMIS,Arthropoda,Insecta,Odonata,Libellulidae,Plathemis,,,Predator,9,,3,Addition,2002
PLATYCENTROPUS,Arthropoda,Insecta,Trichoptera,Limnephilidae,Platycentropus,Limnephilini,Limnephilini,Shredder,4,cb,3.4,,1997
PLATYSMITTIA,Arthropoda,Insecta,Diptera,Chironomidae,Platysmittia,Orthocladiinae,,,7,,6.6,,2002
PLAUDITUS,Arthropoda,Insecta,Ephemeroptera,Baetidae,Plauditus,,,Collector,,"sw, cn",,"Added on 6 Nov 07 by DB, addition due to key change, split",2007
PLECOPTERA,Arthropoda,Insecta,Plecoptera,,,,,,,,2.4,Addition,2001
PLECTROCNEMIA,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Plectrocnemia,,,Filterer,6,cn,1.1,Split from Polycentropus,2021
PLEUROCERA,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,Pleurocera,,,,6,,,,2023
PLEUROCERIDAE,Mollusca,Gastropoda,Mesogastropoda,Pleuroceridae,,,,,6,,6,,2007
PODONOMINAE,Arthropoda,Insecta,Diptera,Chironomidae,,,Podonominae,,7,,,,2004
POLYCENTROPODIDAE,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,,,,6,cn,0.2,,1995
POLYCENTROPUS,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,,,Filterer,6,cn,1.1,,1995
POLYCENTROPUS GROUP,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus group,,,Filterer,6,cn,1.1,"Lumping, added by ESF",2018
POLYMITARCYIDAE,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,,,,Collector,2,bu,2,,1995
POLYPEDILUM,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Chironominae,Chironomini,Shredder,7,"cb, cn",6.3,,1995
POTAMANTHIDAE,Arthropoda,Insecta,Ephemeroptera,Potamanthidae,,,,,4,,4,,1996
POTAMOPYRGUS,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,,,Scraper,,,,"Added by ESF 2019, addition",2018
POTAMYIA,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Potamyia,,,Filterer,5,cn,5.7,,2001
POTTHASTIA,Arthropoda,Insecta,Diptera,Chironomidae,Potthastia,Diamesinae,Diamesini,Collector,7,sp,0,,1995
PROBEZZIA,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,,,Predator,6,bu,3,,1995
PROCAMBARUS,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,,,Collector,6,,2.8,,2000
PROCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Tanypodinae,Procladiini,Predator,7,sp,1.2,,1995
PROCLOEON,Arthropoda,Insecta,Ephemeroptera,Baetidae,Procloeon,,,Collector,5,,2.3,,1997
PRODIAMESA,Arthropoda,Insecta,Diptera,Chironomidae,Prodiamesa,Prodiamesinae,,Collector,7,"bu, sp",6.6,,1995
PROGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Progomphus,,,Predator,5,bu,2.2,,1995
PROMENETUS,Mollusca,Gastropoda,Lymnaeida,Planorbidae,Promenetus,Mollusca,,Scraper,7,cb,7.6,,1995
PROMORESIA,Arthropoda,Insecta,Coleoptera,Elmidae,Promoresia,,,Scraper,5,cn,0,,1995
PROSIMULIUM,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,Prosimuliini,Prosimuliini,Filterer,7,cn,2.4,,1995
PROSTOIA,Arthropoda,Insecta,Plecoptera,Nemouridae,Prostoia,,,Shredder,2,"sp, cn",4.5,,1995
PROSTOMA,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,Prostoma,,,Predator,,,7.3,,1995
PROTOPLASA,Arthropoda,Insecta,Diptera,Tanyderidae,Protoplasa,,,Collector,,,5,,2003
PROTOPTILA,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Protoptila,,,Scraper,,cn,2.8,"Added Oct 2011 by MTK, addition",2011
PSECTROCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Orthocladiinae,,Shredder,7,"sp, bu",6.6,,1995
PSECTROTANYPUS,Arthropoda,Insecta,Diptera,Chironomidae,Psectrotanypus,Tanypodinae,Macropelopiini,Predator,7,bu,6.6,,2000
PSEPHENIDAE,Arthropoda,Insecta,Coleoptera,Psephenidae,,,,,4,,4,,1995
PSEPHENUS,Arthropoda,Insecta,Coleoptera,Psephenidae,Psephenus,,,Scraper,4,cn,4.4,,1995
PSEUDOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Pseudochironomus,Chironominae,Pseudochironomini,Collector,7,,6.6,,2002
PSEUDOCLOEON,Arthropoda,Insecta,Ephemeroptera,Baetidae,Pseudocloeon,,,Scraper,,"sw,cn",4,"Added Aug 2012 by MTK, addition from key change, split",2012
PSEUDOLIMNOPHILA,Arthropoda,Insecta,Diptera,Tipulidae,Pseudolimnophila,,,Predator,4,bu,2.8,,1995
PSEUDORTHOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Pseudorthocladius,Orthocladiinae,,Collector,7,sp,6,,1995
PSEUDOSMITTIA,Arthropoda,Insecta,Diptera,Chironomidae,Pseudosmittia,Orthocladiinae,,Collector,7,sp,6.6,,2002
PSEUDOSUCCINEA,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Pseudosuccinea,Mollusca,,Collector,6,cb,6.3,,1995
PSILOMETRIOCNEMUS,Arthropoda,Insecta,Diptera,Chironomidae,Psilometriocnemus,Orthocladiinae,,Collector,7,sp,6.6,,1995
PSILOTRETA,Arthropoda,Insecta,Trichoptera,Odontoceridae,Psilotreta,,,Scraper,0,sp,0.9,,1995
PSYCHODA,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,,,Collector,4,bu,4,,2000
PSYCHODIDAE,Arthropoda,Insecta,Diptera,Psychodidae,,,,,4,,4,,2001
PSYCHOMYIA,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Psychomyia,,,Collector,2,cn,4.9,,1995
PSYCHOMYIIDAE,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,,,,2,,4.9,,2002
PTERONARCYIDAE,Arthropoda,Insecta,Plecoptera,Pteronarcyidae,,,,,2,,2,,2007
PTERONARCYS,Arthropoda,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcini,Pteronarcini,Shredder,2,"cn, sp",1.1,,1995
PTILODACTYLIDAE,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,,,,,4,,4,,1995
PTILOSTOMIS,Arthropoda,Insecta,Trichoptera,Phryganeidae,Ptilostomis,,,Shredder,5,cb,4.3,,1995
PTYCHOPTERA,Arthropoda,Insecta,Diptera,Ptychopteridae,Ptychoptera,,,Collector,7,,4,,2000
PTYCHOPTERIDAE,Arthropoda,Insecta,Diptera,Ptychopteridae,,,,,8,,8,,2003
PYCNOPSYCHE,Arthropoda,Insecta,Trichoptera,Limnephilidae,Pycnopsyche,Stenophylacini,Stenophylacini,Shredder,4,"sp, cb, cn",3.1,,1995
PYRALIDAE,Arthropoda,Insecta,Lepidoptera,Pyralidae,,,,Shredder,5,cb,6.7,,1995
PYRODERCES,Arthropoda,Insecta,Lepidoptera,Cosmopterygidae,Pyroderces,,,Shredder,5,bu,6.7,,1995
QUISTRADRILUS,Annelida,Oligochaeta,Tubificida,Tubificidae,Quistadrilus,,,,,,,"Entered on Nov 6 07 by DB; no ecological information available, addition",2006
RADIX,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,Mollusca,,Collector,6,cb,6.9,,1995
RANATRA,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,,,Predator,,,5.6,,2000
REMENUS,Arthropoda,Insecta,Plecoptera,Perlodidae,Remenus,,,,2,,,,2019
RHABDOMASTIX,Arthropoda,Insecta,Diptera,Tipulidae,Rhabdomastix,,,,4,bu,4.8,,2001
RHAGOVELIA,Arthropoda,Insecta,Hemiptera,Veliidae,Rhagovelia,,,Predator,6,sk,6,,1995
RHANTUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Rhantus,,,Predator,5,sw,5.4,,2001
RHEOCRICOTOPUS,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Orthocladiinae,,Collector,7,sp,6.2,,1995
RHEOPELOPIA,Arthropoda,Insecta,Diptera,Chironomidae,Rheopelopia,Tanypodinae,Pentaneurini,Predator,7,sp,6.6,,1995
RHEOSMITTIA,Arthropoda,Insecta,Diptera,Chironomidae,Rheosmittia,Orthocladiinae,,,7,,6.6,,1997
RHEOTANYTARSUS,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,Chironominae,Tanytarsini,Filterer,7,cn,7.2,,1995
RHITHROGENA,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,,,Collector,,cn,0,Addition,2005
RHYACOPHILA,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,,,Predator,1,cn,2.1,,1995
RHYACOPHILIDAE,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,,,,,1,,1,,1995
ROBACKIA,Arthropoda,Insecta,Diptera,Chironomidae,Robackia,Chironominae,Chironomini,Collector,7,,,,2003
SAETHERIA,Arthropoda,Insecta,Diptera,Chironomidae,Saetheria,Chironominae,Chironomini,Collector,7,bu,6.6,,1997
SALDIDAE,Arthropoda,Insecta,Hemiptera,Saldidae,,,,Predator,10,,6,,2000
SARCOPHAGIDAE,Arthropoda,Insecta,Diptera,Sarcophagidae,,,,,,,,"Found in CT data only, not MBSS",2001
SCIOMYZIDAE,Arthropoda,Insecta,Diptera,Sciomyzidae,,,,Predator,10,bu,6,,2001
SCIRTIDAE,Arthropoda,Insecta,Coleoptera,Scirtidae,,,,Collector,7,"cb, sp",4,,1995
SCLEROPROCTA,Arthropoda,Insecta,Diptera,Limoniidae,Scleroprocta,,,Collector,,bu,,,2022
SERICOSTOMATIDAE,Arthropoda,Insecta,Trichoptera,Sericostomatidae,,,,,3,,3,,2001
SERRATELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,,,Collector,2,cn,2.8,,1995
SHIPSA,Arthropoda,Insecta,Plecoptera,Nemouridae,Shipsa,,,Shredder,2,"sp, cn",2.9,,1995
SIALIDAE,Arthropoda,Insecta,Megaloptera,Sialidae,,,,Predator,4,"bu, cb, cn",1.9,,1995
SIALIS,Arthropoda,Insecta,Megaloptera,Sialidae,Sialis,,,Predator,4,"bu, cb, cn",1.9,,1995
SIGARA,Arthropoda,Insecta,Hemiptera,Corixidae,Sigara,,,Collector,5,"sw, cb",9,,2023
SIMULIIDAE,Arthropoda,Insecta,Diptera,Simuliidae,,,,Filterer,7,cn,3.2,,1995
SIMULIUM,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simuliini,Simuliini,Filterer,7,cn,5.7,,1995
SIPHLONURIDAE,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,,,Collector,7,"sw, cb",7,,2004
SIPHLONURUS,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,Siphlonurus,,,Collector,7,"sw, cb",7,,1995
SIPHLOPLECTON,Arthropoda,Insecta,Ephemeroptera,Metretopodidae,Siphloplecton,,,Predator,2,"sw, cn",2,,1995
SISYRIDAE,Arthropoda,Insecta,Neuroptera,Sisyridae,,,,,,,,,1995
SMINTHURIDAE,Arthropoda,Collembola,Collembola,Sminthuridae,,,,,,,,,2017
SMITTIA,Arthropoda,Insecta,Diptera,Chironomidae,Smittia,Orthocladiinae,,Collector,7,bu,6.6,,2000
SOMATOCHLORA,Arthropoda,Insecta,Odonata,Corduliidae,Somatochlora,,,Predator,3,sp,1,,1995
SOYEDINA,Arthropoda,Insecta,Plecoptera,Nemouridae,Soyedina,,,Shredder,2,"sp, cn",2.9,,1995
SPERCHOPSIS,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Sperchopsis,,,Collector,5,cn,4.1,,1995
SPHAERIIDAE,Mollusca,Bivalvia,Veneroida,Pisidiidae,,Mollusca,,Filterer,8,bu,6.5,,1995
SPHAERIUM,Mollusca,Bivalvia,Veneroida,Pisidiidae,Sphaerium,Mollusca,,Filterer,8,bu,5.5,,1995
SPHAEROMIAS,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,,,Predator,6,bu,3.6,,1995
SPIROSPERMA,Annelida,Oligochaeta,Tubificida,Tubificidae,Spirosperma,,,Collector,10,cn,6.6,,1996
STACTOBIELLA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Stactobiella,,,Shredder,4,"cb,sp",2,"Added Sept. 7, 2017, addition",2012
STAGNICOLA,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Stagnicola,Mollusca,,Scraper,6,cb,7.8,,1995
STEGOPTERNA,Arthropoda,Insecta,Diptera,Simuliidae,Stegopterna,Prosimuliini,Prosimuliini,Filterer,7,cn,2.4,,1995
STEMPELLINA,Arthropoda,Insecta,Diptera,Chironomidae,Stempellina,Chironominae,Tanytarsini,Collector,7,cb,6.6,,2000
STEMPELLINELLA,Arthropoda,Insecta,Diptera,Chironomidae,Stempellinella,Chironominae,Tanytarsini,Collector,7,"cb, sp, cn",4.2,,1995
STENACRON,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,,,Collector,3,cn,2,,1995
STENELMIS,Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,,,Scraper,5,cn,7.1,,1995
STENOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Stenochironomus,Chironominae,Chironomini,Shredder,7,bu,7.9,,1995
STENONEMA,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,,,Scraper,3,cn,4.6,,1995
STENOPELMUS,Arthropoda,Insecta,Coleoptera,Curculionidae,Stenopelmus,,,Shredder,,cn,6,"Added February 2014 by MTK, addition",2014
STICTOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,Chironominae,Chironomini,Collector,7,bu,9.2,,1995
STILOBEZZIA,Arthropoda,Insecta,Diptera,Ceratopogonidae,Stilobezzia,,,Predator,6,sp,3.6,,2000
STILOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Stilocladius,Orthocladiinae,,Collector,7,sp,6.6,,2000
STRATIOMYIDAE,Arthropoda,Insecta,Diptera,Stratiomyidae,,,,Collector,4,,,,2004
STRATIOMYS,Arthropoda,Insecta,Diptera,Stratiomyidae,Stratiomys,,,Collector,4,"sp, bu",2.8,,1995
STROPHOPTERYX,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Strophopteryx,,,Shredder,2,"sp, cn",3.3,,1995
STYGOBROMUS,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Stygobromus,,,Collector,4,,4,"Added 7 Oct 2008 MTK, name change from Stygonectes",2008
STYLOGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Stylogomphus,,,Predator,5,bu,2.2,,1995
STYLURUS,Arthropoda,Insecta,Odonata,Gomphidae,Stylurus,,,Predator,5,bu,,,2023
SUBLETTEA,Arthropoda,Insecta,Diptera,Chironomidae,Sublettea,Chironominae,Tanytarsini,Collector,7,,10,,1995
SWELTSA,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Sweltsa,,,Predator,1,cn,1.9,,1995
SYMPOSIOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Symposiocladius,Orthocladiinae,,Predator,7,sp,4.8,,2016
